UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,TMIN_MEAN
160601,LORETO,UCAYALI,CONTAMANA,21.204777664811644
160703,LORETO,DATEM DEL MARAÑON,MANSERICHE,21.828922943376067
160701,LORETO,DATEM DEL MARAÑON,BARRANCA,21.269467613345288
160702,LORETO,DATEM DEL MARAÑON,CAHUAPANAS,21.84501393312102
160202,LORETO,ALTO AMAZONAS,BALSAPUERTO,20.99487073396381
160604,LORETO,UCAYALI,PAMPA HERMOSA,20.55030864197531
170201,MADRE DE DIOS,MANU,MANU,19.367765410958903
170204,MADRE DE DIOS,MANU,HUEPETUHE,20.86659390318628
250301,UCAYALI,PADRE ABAD,PADRE ABAD,20.078721400669643
250201,UCAYALI,ATALAYA,RAIMONDI,21.35797512421548
